relative_path,status,docs_exists,backup_exists,docs_size,backup_size,issue_description
Network\LoRa_Wio_Series\Wio-E5\LoRa_E5_mini.md,仅存在于backup,False,True,文件不存在,38469,docs文件夹中缺少此文件
Network\LoRa_Wio_Series\Wio_SX1262\Wio_SX1262_with_XIAO_ESP32S3_Kit\Single_Channel_LoRaWAN_Gateway.md,仅存在于backup,False,True,文件不存在,15166,docs文件夹中缺少此文件
Network\Meshtastic_Network\T1000-E\t1000_e_intro.md,仅存在于backup,False,True,文件不存在,4325,docs文件夹中缺少此文件
Network\Meshtastic_Network\Wio Tracker L1\wio_tracker_node.md,仅存在于backup,False,True,文件不存在,6864,docs文件夹中缺少此文件
Network\Meshtastic_Network\wio_tracker_kit\flash_meshtastic_kit.md,仅存在于backup,False,True,文件不存在,6175,docs文件夹中缺少此文件
Network\Meshtastic_Network\wio_tracker_kit\meshtastic_kit_wio_tracker_1110.md,仅存在于backup,False,True,文件不存在,13083,docs文件夹中缺少此文件
Network\RK_Devices\LinkStar\Linkstar_Intro.md,仅存在于backup,False,True,文件不存在,7124,docs文件夹中缺少此文件
Network\SenseCAP_K1100\Contributors_Project\K1111-Quick-Start-Guide.md,仅存在于backup,False,True,文件不存在,21836,docs文件夹中缺少此文件
Network\SenseCAP_K1100\LoRaWAN-Network_Application\Sensors_Basic_Usage_with_Arduino\K1100-Light-Sensor-Grove-LoRa-E5.md,仅存在于backup,False,True,文件不存在,19525,docs文件夹中缺少此文件
Network\SenseCAP_Network\SenseCAPMX_Hotspot\Helium_Gateway\SenseCAP_M1\Troubleshooting.md,仅存在于backup,False,True,文件不存在,30223,docs文件夹中缺少此文件
Seeed_Elderly\LinkIt\Linklt ONE\LinkIt_ONE_Tutorial-Get_temperature_with_Webpage.md,仅存在于backup,False,True,文件不存在,4349,docs文件夹中缺少此文件
Seeed_Elderly\LinkIt\Linklt ONE\LinkIt_ONE_Tutorial-Light-Sensor.md,仅存在于backup,False,True,文件不存在,4142,docs文件夹中缺少此文件
Seeed_Elderly\Xadow\Xadow_3_Aixs_Accelerometer.md,仅存在于backup,False,True,文件不存在,5993,docs文件夹中缺少此文件
Sensor\Arch\Arch_GPRS_V2.md,仅存在于backup,False,True,文件不存在,9032,docs文件夹中缺少此文件
Sensor\Grove\Grove_Accessories\Actuator\Grove-Servo.md,仅存在于backup,False,True,文件不存在,12968,docs文件夹中缺少此文件
Sensor\Grove\Grove_Accessories\Input_Output\Grove-NOT.md,仅存在于backup,False,True,文件不存在,3308,docs文件夹中缺少此文件
Sensor\Grove\Grove_Accessories\Input_Output\Grove-NunChuck.md,仅存在于backup,False,True,文件不存在,1966,docs文件夹中缺少此文件
Sensor\Grove\Grove_Sensors\AI-powered\Grove-vision-ai-v2\Grove-vision-ai-v2-camera-supported.md,仅存在于backup,False,True,文件不存在,4391,docs文件夹中缺少此文件
Sensor\Grove\Grove_Sensors\AI-powered\Grove-vision-ai-v2\Grove-vision-ai-v2-software-supported.md,仅存在于backup,False,True,文件不存在,27136,docs文件夹中缺少此文件
